TOURNAMENT,TEAM_0_NAME,TEAM_0_HEROES,TEAM_0_SIDE,TEAM_0_WIN,TEAM_1_NAME,TEAM_1_HEROES,TEAM_1_SIDE,TEAM_1_WIN
ESL One Birmingham  2019,TNC Predator,"['Wraith King', 'Leshrac', 'Sand King', 'Chen', 'Sniper']",dire,1,Newbee,"['Lifestealer', 'Lina', 'Death Prophet', 'Oracle', 'Mars']",radiant,0
ESL One Birmingham  2019,TNC Predator,"['Terrorblade', 'Templar Assassin', 'Dark Seer', 'Tusk', 'Chen']",dire,0,Newbee,"['Monkey King', 'Anti-Mage', 'Sand King', 'Winter Wyvern', 'Jakiro']",radiant,1
ESL One Birmingham  2019,OG,"['Spectre', ""Nature's Prophet"", 'Treant Protector', 'Earth Spirit', 'Crystal Maiden']",dire,0,TNC Predator,"['Alchemist', 'Ember Spirit', 'Venomancer', 'Earthshaker', 'Ancient Apparition']",radiant,1
ESL One Birmingham  2019,OG,"['Juggernaut', 'Pangolier', 'Beastmaster', 'Grimstroke', 'Warlock']",dire,1,TNC Predator,"['Wraith King', 'Templar Assassin', 'Sand King', 'Witch Doctor', 'Leshrac']",radiant,0
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Anti-Mage', 'Ember Spirit', 'Beastmaster', 'Zeus', 'Abaddon']",dire,0,TNC Predator,"['Sven', 'Queen of Pain', 'Sand King', 'Warlock', 'Batrider']",radiant,1
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Slark', 'Death Prophet', ""Nature's Prophet"", 'Oracle', 'Sand King']",dire,0,TNC Predator,"['Medusa', 'Batrider', 'Bristleback', 'Nyx Assassin', 'Warlock']",radiant,1
ESL One Birmingham  2019,Team Liquid,"['Broodmother', 'Lycan', 'Sand King', 'Rubick', 'Abaddon']",dire,1,TNC Predator,"['Spectre', 'Batrider', 'Pangolier', 'Earthshaker', 'Warlock']",radiant,0
ESL One Birmingham  2019,Team Liquid,"['Lycan', 'Invoker', 'Sand King', 'Nyx Assassin', 'Omniknight']",dire,0,TNC Predator,"['Troll Warlord', 'Storm Spirit', 'Batrider', 'Rubick', 'Ancient Apparition']",radiant,1
ESL One Birmingham  2019,TNC Predator,"['Medusa', 'Zeus', 'Sand King', 'Oracle', 'Ember Spirit']",dire,0,Vici Gaming,"['Spectre', 'Sniper', 'Centaur Warrunner', 'Rubick', 'Disruptor']",radiant,1
ESL One Birmingham  2019,Vici Gaming,"['Troll Warlord', 'Storm Spirit', 'Pangolier', 'Oracle', 'Mars']",dire,0,TNC Predator,"['Wraith King', 'Outworld Devourer', ""Nature's Prophet"", 'Ancient Apparition', 'Sand King']",radiant,1
ESL One Birmingham  2019,Newbee,"['Ursa', 'Puck', 'Sand King', 'Grimstroke', 'Medusa']",dire,0,OG,"['Morphling', 'Lina', 'Pangolier', 'Earth Spirit', 'Abaddon']",radiant,1
ESL One Birmingham  2019,OG,"['Phantom Lancer', 'Ember Spirit', 'Dark Seer', 'Earth Spirit', 'Chen']",dire,1,Newbee,"['Morphling', 'Puck', 'Death Prophet', 'Earthshaker', 'Winter Wyvern']",radiant,0
ESL One Birmingham  2019,Newbee,"['Slark', 'Ember Spirit', 'Dark Seer', 'Earth Spirit', 'Jakiro']",dire,0,Ninjas in Pyjamas,"['Sven', 'Batrider', 'Omniknight', 'Nyx Assassin', 'Warlock']",radiant,1
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Troll Warlord', 'Zeus', 'Night Stalker', 'Tiny', 'Warlock']",dire,1,Newbee,"['Drow Ranger', 'Storm Spirit', 'Necrophos', 'Earth Spirit', ""Nature's Prophet""]",radiant,0
ESL One Birmingham  2019,Team Liquid,"['Drow Ranger', 'Outworld Devourer', 'Beastmaster', 'Shadow Shaman', 'Oracle']",dire,1,Newbee,"['Sniper', 'Troll Warlord', 'Pudge', 'Earth Spirit', 'Jakiro']",radiant,0
ESL One Birmingham  2019,Newbee,"['Morphling', 'Kunkka', 'Legion Commander', 'Earth Spirit', 'Warlock']",dire,1,Team Liquid,"['Anti-Mage', 'Timbersaw', ""Nature's Prophet"", 'Shadow Shaman', 'Mars']",radiant,0
ESL One Birmingham  2019,Vici Gaming,"['Ember Spirit', 'Invoker', 'Mars', 'Keeper of the Light', 'Ancient Apparition']",dire,1,Newbee,"['Morphling', 'Kunkka', 'Pangolier', 'Treant Protector', 'Lina']",radiant,0
ESL One Birmingham  2019,Vici Gaming,"['Wraith King', 'Meepo', 'Batrider', 'Omniknight', 'Crystal Maiden']",dire,1,Newbee,"['Ember Spirit', 'Leshrac', 'Brewmaster', 'Rubick', 'Oracle']",radiant,0
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Spectre', 'Zeus', 'Sand King', 'Chen', 'Lina']",dire,1,OG,"['Troll Warlord', 'Arc Warden', 'Legion Commander', 'Keeper of the Light', 'Crystal Maiden']",radiant,0
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Spectre', 'Templar Assassin', 'Enigma', 'Earthshaker', 'Oracle']",dire,0,OG,"['Lifestealer', 'Storm Spirit', ""Nature's Prophet"", 'Crystal Maiden', 'Sand King']",radiant,1
ESL One Birmingham  2019,Team Liquid,"['Meepo', 'Ancient Apparition', 'Sand King', 'Earth Spirit', 'Razor']",dire,1,OG,"['Anti-Mage', 'Morphling', 'Abaddon', 'Nyx Assassin', 'Grimstroke']",radiant,0
ESL One Birmingham  2019,Team Liquid,"['Sven', 'Outworld Devourer', 'Earthshaker', 'Earth Spirit', 'Crystal Maiden']",dire,0,OG,"['Troll Warlord', 'Zeus', 'Magnus', 'Nyx Assassin', 'Warlock']",radiant,1
ESL One Birmingham  2019,Vici Gaming,"['Bloodseeker', 'Morphling', 'Doom', 'Shadow Shaman', 'Grimstroke']",dire,1,OG,"['Phantom Lancer', 'Pangolier', 'Magnus', 'Disruptor', 'Oracle']",radiant,0
ESL One Birmingham  2019,OG,"['Monkey King', 'Ember Spirit', 'Leshrac', 'Earthshaker', 'Omniknight']",dire,0,Vici Gaming,"['Morphling', 'Templar Assassin', 'Sand King', 'Zeus', 'Silencer']",radiant,1
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Luna', 'Ember Spirit', 'Dark Seer', 'Io', 'Treant Protector']",dire,0,Team Liquid,"['Lone Druid', 'Beastmaster', 'Troll Warlord', 'Earthshaker', 'Chen']",radiant,1
ESL One Birmingham  2019,Team Liquid,"['Morphling', 'Mars', ""Nature's Prophet"", 'Nyx Assassin', 'Dark Seer']",dire,0,Ninjas in Pyjamas,"['Monkey King', 'Night Stalker', 'Abaddon', 'Rubick', 'Troll Warlord']",radiant,1
ESL One Birmingham  2019,Vici Gaming,"['Sven', 'Death Prophet', 'Dark Seer', 'Nyx Assassin', 'Disruptor']",dire,1,Ninjas in Pyjamas,"['Monkey King', 'Troll Warlord', 'Doom', 'Shadow Shaman', 'Ogre Magi']",radiant,0
ESL One Birmingham  2019,Ninjas in Pyjamas,"['Phantom Lancer', 'Puck', 'Sand King', 'Monkey King', 'Abaddon']",dire,0,Vici Gaming,"['Spectre', 'Templar Assassin', 'Wraith King', 'Witch Doctor', 'Zeus']",radiant,1
ESL One Birmingham  2019,Vici Gaming,"['Gyrocopter', 'Templar Assassin', 'Mars', 'Lion', 'Io']",dire,1,Team Liquid,"['Phantom Assassin', 'Dazzle', 'Phoenix', 'Earthshaker', 'Chen']",radiant,0
ESL One Birmingham  2019,Vici Gaming,"['Sven', 'Lina', 'Mars', 'Nyx Assassin', 'Warlock']",dire,0,Team Liquid,"['Troll Warlord', 'Arc Warden', ""Nature's Prophet"", 'Earthshaker', 'Shadow Shaman']",radiant,1
ESL One Birmingham  2019,Gambit Esports,"['Morphling', 'Night Stalker', 'Lone Druid', 'Rubick', 'Chen']",dire,1,Alliance,"['Phantom Lancer', 'Mars', 'Necrophos', 'Lion', 'Io']",radiant,0
